id,date,city,state,fuel,price_inr_per_litre
133,2021-05-12,Delhi,Delhi,diesel,80.73
134,2021-05-12,Mumbai,Maharashtra,petrol,96.83
135,2021-05-12,Mumbai,Maharashtra,diesel,87.81
136,2021-05-12,Chennai,Tamil Nadu,petrol,92.43
137,2021-05-12,Chennai,Tamil Nadu,diesel,85.75
138,2021-05-12,Kolkata,West Bengal,petrol,90.62
139,2021-05-12,Kolkata,West Bengal,diesel,83.61
140,2021-05-12,Bengaluru,Karnataka,petrol,93.43
141,2021-05-12,Bengaluru,Karnataka,diesel,85.6
142,2021-05-12,Lucknow,Uttar Pradesh,petrol,88.56
143,2021-05-12,Lucknow,Uttar Pradesh,diesel,80.94
144,2021-05-13,Delhi,Delhi,petrol,90.4
145,2021-05-13,Delhi,Delhi,diesel,80.73
146,2021-05-13,Mumbai,Maharashtra,petrol,96.83
147,2021-05-13,Mumbai,Maharashtra,diesel,87.81
148,2021-05-13,Chennai,Tamil Nadu,petrol,92.43
149,2021-05-13,Chennai,Tamil Nadu,diesel,85.75
150,2021-05-13,Kolkata,West Bengal,petrol,90.62
151,2021-05-13,Kolkata,West Bengal,diesel,83.61
152,2021-05-13,Bengaluru,Karnataka,petrol,93.43
153,2021-05-13,Bengaluru,Karnataka,diesel,85.6
154,2021-05-13,Lucknow,Uttar Pradesh,petrol,88.56
155,2021-05-13,Lucknow,Uttar Pradesh,diesel,80.94
156,2021-05-14,Delhi,Delhi,petrol,90.4
157,2021-05-14,Delhi,Delhi,diesel,80.73
158,2021-05-14,Mumbai,Maharashtra,petrol,96.83
159,2021-05-14,Mumbai,Maharashtra,diesel,87.81
160,2021-05-14,Chennai,Tamil Nadu,petrol,92.43
161,2021-05-14,Chennai,Tamil Nadu,diesel,85.75
162,2021-05-14,Kolkata,West Bengal,petrol,90.62
163,2021-05-14,Kolkata,West Bengal,diesel,83.61
164,2021-05-14,Bengaluru,Karnataka,petrol,93.43
165,2021-05-14,Bengaluru,Karnataka,diesel,85.6
166,2021-05-14,Lucknow,Uttar Pradesh,petrol,88.56
167,2021-05-14,Lucknow,Uttar Pradesh,diesel,80.94
168,2021-05-15,Delhi,Delhi,petrol,90.4
169,2021-05-15,Delhi,Delhi,diesel,80.73
170,2021-05-15,Mumbai,Maharashtra,petrol,96.83
171,2021-05-15,Mumbai,Maharashtra,diesel,87.81
172,2021-05-15,Chennai,Tamil Nadu,petrol,92.43
173,2021-05-15,Chennai,Tamil Nadu,diesel,85.75
174,2021-05-15,Kolkata,West Bengal,petrol,90.62
175,2021-05-15,Kolkata,West Bengal,diesel,83.61
176,2021-05-15,Bengaluru,Karnataka,petrol,93.43
177,2021-05-15,Bengaluru,Karnataka,diesel,85.6
178,2021-05-15,Lucknow,Uttar Pradesh,petrol,88.56
179,2021-05-15,Lucknow,Uttar Pradesh,diesel,80.94
180,2021-05-16,Delhi,Delhi,petrol,90.4
181,2021-05-16,Delhi,Delhi,diesel,80.73
182,2021-05-16,Mumbai,Maharashtra,petrol,96.83
183,2021-05-16,Mumbai,Maharashtra,diesel,87.81
184,2021-05-16,Chennai,Tamil Nadu,petrol,92.43
185,2021-05-16,Chennai,Tamil Nadu,diesel,85.75
186,2021-05-16,Kolkata,West Bengal,petrol,90.62
187,2021-05-16,Kolkata,West Bengal,diesel,83.61
188,2021-05-16,Bengaluru,Karnataka,petrol,93.43
189,2021-05-16,Bengaluru,Karnataka,diesel,85.6
190,2021-05-16,Lucknow,Uttar Pradesh,petrol,88.56
191,2021-05-16,Lucknow,Uttar Pradesh,diesel,80.94
192,2021-05-17,Delhi,Delhi,petrol,90.4
193,2021-05-17,Delhi,Delhi,diesel,80.73
194,2021-05-17,Mumbai,Maharashtra,petrol,96.83
195,2021-05-17,Mumbai,Maharashtra,diesel,87.81
196,2021-05-17,Chennai,Tamil Nadu,petrol,92.43
197,2021-05-17,Chennai,Tamil Nadu,diesel,85.75
198,2021-05-17,Kolkata,West Bengal,petrol,90.62
199,2021-05-17,Kolkata,West Bengal,diesel,83.61
200,2021-05-17,Bengaluru,Karnataka,petrol,93.43
201,2021-05-17,Bengaluru,Karnataka,diesel,85.6
202,2021-05-17,Lucknow,Uttar Pradesh,petrol,88.56
203,2021-05-17,Lucknow,Uttar Pradesh,diesel,80.94
204,2021-05-18,Delhi,Delhi,petrol,90.4
205,2021-05-18,Delhi,Delhi,diesel,80.73
206,2021-05-18,Mumbai,Maharashtra,petrol,96.83
207,2021-05-18,Mumbai,Maharashtra,diesel,87.81
208,2021-05-18,Chennai,Tamil Nadu,petrol,92.43
209,2021-05-18,Chennai,Tamil Nadu,diesel,85.75
210,2021-05-18,Kolkata,West Bengal,petrol,90.62
211,2021-05-18,Kolkata,West Bengal,diesel,83.61
212,2021-05-18,Bengaluru,Karnataka,petrol,93.43
213,2021-05-18,Bengaluru,Karnataka,diesel,85.6
214,2021-05-18,Lucknow,Uttar Pradesh,petrol,88.56
215,2021-05-18,Lucknow,Uttar Pradesh,diesel,80.94
216,2021-05-19,Delhi,Delhi,petrol,90.4
217,2021-05-19,Delhi,Delhi,diesel,80.73
218,2021-05-19,Mumbai,Maharashtra,petrol,96.83
219,2021-05-19,Mumbai,Maharashtra,diesel,87.81
220,2021-05-19,Chennai,Tamil Nadu,petrol,92.43
221,2021-05-19,Chennai,Tamil Nadu,diesel,85.75
222,2021-05-19,Kolkata,West Bengal,petrol,90.62
223,2021-05-19,Kolkata,West Bengal,diesel,83.61
224,2021-05-19,Bengaluru,Karnataka,petrol,93.43
225,2021-05-19,Bengaluru,Karnataka,diesel,85.6
226,2021-05-19,Lucknow,Uttar Pradesh,petrol,88.56
227,2021-05-19,Lucknow,Uttar Pradesh,diesel,80.94
228,2021-05-20,Delhi,Delhi,petrol,90.4
229,2021-05-20,Delhi,Delhi,diesel,80.73
230,2021-05-20,Mumbai,Maharashtra,petrol,96.83
231,2021-05-20,Mumbai,Maharashtra,diesel,87.81
232,2021-05-20,Chennai,Tamil Nadu,petrol,92.43
233,2021-05-20,Chennai,Tamil Nadu,diesel,85.75
234,2021-05-20,Kolkata,West Bengal,petrol,90.62
235,2021-05-20,Kolkata,West Bengal,diesel,83.61
236,2021-05-20,Bengaluru,Karnataka,petrol,93.43
237,2021-05-20,Bengaluru,Karnataka,diesel,85.6
238,2021-05-20,Lucknow,Uttar Pradesh,petrol,88.56
239,2021-05-20,Lucknow,Uttar Pradesh,diesel,80.94
240,2021-05-21,Delhi,Delhi,petrol,90.4
241,2021-05-21,Delhi,Delhi,diesel,80.73
242,2021-05-21,Mumbai,Maharashtra,petrol,96.83
243,2021-05-21,Mumbai,Maharashtra,diesel,87.81
244,2021-05-21,Chennai,Tamil Nadu,petrol,92.43
245,2021-05-21,Chennai,Tamil Nadu,diesel,85.75
246,2021-05-21,Kolkata,West Bengal,petrol,90.62
247,2021-05-21,Kolkata,West Bengal,diesel,83.61
248,2021-05-21,Bengaluru,Karnataka,petrol,93.43
249,2021-05-21,Bengaluru,Karnataka,diesel,85.6
250,2021-05-21,Lucknow,Uttar Pradesh,petrol,88.56
251,2021-05-21,Lucknow,Uttar Pradesh,diesel,80.94
252,2021-05-22,Delhi,Delhi,petrol,90.4
253,2021-05-22,Delhi,Delhi,diesel,80.73
254,2021-05-22,Mumbai,Maharashtra,petrol,96.83
255,2021-05-22,Mumbai,Maharashtra,diesel,87.81
256,2021-05-22,Chennai,Tamil Nadu,petrol,92.43
257,2021-05-22,Chennai,Tamil Nadu,diesel,85.75
258,2021-05-22,Kolkata,West Bengal,petrol,90.62
259,2021-05-22,Kolkata,West Bengal,diesel,83.61
260,2021-05-22,Bengaluru,Karnataka,petrol,93.43
261,2021-05-22,Bengaluru,Karnataka,diesel,85.6
262,2021-05-22,Lucknow,Uttar Pradesh,petrol,88.56
263,2021-05-22,Lucknow,Uttar Pradesh,diesel,80.94
264,2021-05-23,Delhi,Delhi,petrol,90.4
265,2021-05-23,Delhi,Delhi,diesel,80.73
266,2021-05-23,Mumbai,Maharashtra,petrol,96.83
267,2021-05-23,Mumbai,Maharashtra,diesel,87.81
268,2021-05-23,Chennai,Tamil Nadu,petrol,92.43
269,2021-05-23,Chennai,Tamil Nadu,diesel,85.75
270,2021-05-23,Kolkata,West Bengal,petrol,90.62
271,2021-05-23,Kolkata,West Bengal,diesel,83.61
272,2021-05-23,Bengaluru,Karnataka,petrol,93.43
273,2021-05-23,Bengaluru,Karnataka,diesel,85.6
274,2021-05-23,Lucknow,Uttar Pradesh,petrol,88.56
275,2021-05-23,Lucknow,Uttar Pradesh,diesel,80.94
276,2021-05-24,Delhi,Delhi,petrol,90.4
277,2021-05-24,Delhi,Delhi,diesel,80.73
278,2021-05-24,Mumbai,Maharashtra,petrol,96.83
279,2021-05-24,Mumbai,Maharashtra,diesel,87.81
280,2021-05-24,Chennai,Tamil Nadu,petrol,92.43
281,2021-05-24,Chennai,Tamil Nadu,diesel,85.75
282,2021-05-24,Kolkata,West Bengal,petrol,90.62
283,2021-05-24,Kolkata,West Bengal,diesel,83.61
284,2021-05-24,Bengaluru,Karnataka,petrol,93.43
285,2021-05-24,Bengaluru,Karnataka,diesel,85.6
286,2021-05-24,Lucknow,Uttar Pradesh,petrol,88.56
287,2021-05-24,Lucknow,Uttar Pradesh,diesel,80.94
288,2021-05-25,Delhi,Delhi,petrol,90.4
289,2021-05-25,Delhi,Delhi,diesel,80.73
290,2021-05-25,Mumbai,Maharashtra,petrol,96.83
291,2021-05-25,Mumbai,Maharashtra,diesel,87.81
292,2021-05-25,Chennai,Tamil Nadu,petrol,92.43
293,2021-05-25,Chennai,Tamil Nadu,diesel,85.75
294,2021-05-25,Kolkata,West Bengal,petrol,90.62
295,2021-05-25,Kolkata,West Bengal,diesel,83.61
296,2021-05-25,Bengaluru,Karnataka,petrol,93.43
297,2021-05-25,Bengaluru,Karnataka,diesel,85.6
298,2021-05-25,Lucknow,Uttar Pradesh,petrol,88.56
299,2021-05-25,Lucknow,Uttar Pradesh,diesel,80.94
300,2021-05-26,Delhi,Delhi,petrol,90.4
301,2021-05-26,Delhi,Delhi,diesel,80.73
302,2021-05-26,Mumbai,Maharashtra,petrol,96.83
303,2021-05-26,Mumbai,Maharashtra,diesel,87.81
304,2021-05-26,Chennai,Tamil Nadu,petrol,92.43
305,2021-05-26,Chennai,Tamil Nadu,diesel,85.75
306,2021-05-26,Kolkata,West Bengal,petrol,90.62
307,2021-05-26,Kolkata,West Bengal,diesel,83.61
308,2021-05-26,Bengaluru,Karnataka,petrol,93.43
309,2021-05-26,Bengaluru,Karnataka,diesel,85.6
310,2021-05-26,Lucknow,Uttar Pradesh,petrol,88.56
311,2021-05-26,Lucknow,Uttar Pradesh,diesel,80.94
312,2021-05-27,Delhi,Delhi,petrol,90.4
313,2021-05-27,Delhi,Delhi,diesel,80.73
314,2021-05-27,Mumbai,Maharashtra,petrol,96.83
315,2021-05-27,Mumbai,Maharashtra,diesel,87.81
316,2021-05-27,Chennai,Tamil Nadu,petrol,92.43
317,2021-05-27,Chennai,Tamil Nadu,diesel,85.75
318,2021-05-27,Kolkata,West Bengal,petrol,90.62
319,2021-05-27,Kolkata,West Bengal,diesel,83.61
320,2021-05-27,Bengaluru,Karnataka,petrol,93.43
321,2021-05-27,Bengaluru,Karnataka,diesel,85.6
322,2021-05-27,Lucknow,Uttar Pradesh,petrol,88.56
323,2021-05-27,Lucknow,Uttar Pradesh,diesel,80.94
324,2021-05-28,Delhi,Delhi,petrol,90.4
325,2021-05-28,Delhi,Delhi,diesel,80.73
326,2021-05-28,Mumbai,Maharashtra,petrol,96.83
327,2021-05-28,Mumbai,Maharashtra,diesel,87.81
328,2021-05-28,Chennai,Tamil Nadu,petrol,92.43
329,2021-05-28,Chennai,Tamil Nadu,diesel,85.75
330,2021-05-28,Kolkata,West Bengal,petrol,90.62
331,2021-05-28,Kolkata,West Bengal,diesel,83.61
332,2021-05-28,Bengaluru,Karnataka,petrol,93.43
333,2021-05-28,Bengaluru,Karnataka,diesel,85.6
334,2021-05-28,Lucknow,Uttar Pradesh,petrol,88.56
335,2021-05-28,Lucknow,Uttar Pradesh,diesel,80.94
336,2021-05-29,Delhi,Delhi,petrol,90.4
337,2021-05-29,Delhi,Delhi,diesel,80.73
338,2021-05-29,Mumbai,Maharashtra,petrol,96.83
339,2021-05-29,Mumbai,Maharashtra,diesel,87.81
340,2021-05-29,Chennai,Tamil Nadu,petrol,92.43
341,2021-05-29,Chennai,Tamil Nadu,diesel,85.75
342,2021-05-29,Kolkata,West Bengal,petrol,90.62
343,2021-05-29,Kolkata,West Bengal,diesel,83.61
344,2021-05-29,Bengaluru,Karnataka,petrol,93.43
345,2021-05-29,Bengaluru,Karnataka,diesel,85.6
346,2021-05-29,Lucknow,Uttar Pradesh,petrol,88.56
347,2021-05-29,Lucknow,Uttar Pradesh,diesel,80.94
348,2021-05-30,Delhi,Delhi,petrol,90.4
349,2021-05-30,Delhi,Delhi,diesel,80.73
350,2021-05-30,Mumbai,Maharashtra,petrol,96.83
351,2021-05-30,Mumbai,Maharashtra,diesel,87.81
352,2021-05-30,Chennai,Tamil Nadu,petrol,92.43
353,2021-05-30,Chennai,Tamil Nadu,diesel,85.75
354,2021-05-30,Kolkata,West Bengal,petrol,90.62
355,2021-05-30,Kolkata,West Bengal,diesel,83.61
356,2021-05-30,Bengaluru,Karnataka,petrol,93.43
357,2021-05-30,Bengaluru,Karnataka,diesel,85.6
358,2021-05-30,Lucknow,Uttar Pradesh,petrol,88.56
359,2021-05-30,Lucknow,Uttar Pradesh,diesel,80.94
360,2021-05-31,Delhi,Delhi,petrol,90.4
361,2021-05-31,Delhi,Delhi,diesel,80.73
362,2021-05-31,Mumbai,Maharashtra,petrol,96.83
363,2021-05-31,Mumbai,Maharashtra,diesel,87.81
364,2021-05-31,Chennai,Tamil Nadu,petrol,92.43
365,2021-05-31,Chennai,Tamil Nadu,diesel,85.75
366,2021-05-31,Kolkata,West Bengal,petrol,90.62
367,2021-05-31,Kolkata,West Bengal,diesel,83.61
368,2021-05-31,Bengaluru,Karnataka,petrol,93.43
369,2021-05-31,Bengaluru,Karnataka,diesel,85.6
370,2021-05-31,Lucknow,Uttar Pradesh,petrol,88.56
371,2021-05-31,Lucknow,Uttar Pradesh,diesel,80.94
372,2021-06-01,Delhi,Delhi,petrol,94.49
373,2021-06-01,Delhi,Delhi,diesel,85.38
374,2021-06-01,Mumbai,Maharashtra,petrol,100.72
375,2021-06-01,Mumbai,Maharashtra,diesel,92.69
376,2021-06-01,Chennai,Tamil Nadu,petrol,95.99
377,2021-06-01,Chennai,Tamil Nadu,diesel,90.12
378,2021-06-01,Kolkata,West Bengal,petrol,94.5
379,2021-06-01,Kolkata,West Bengal,diesel,88.23
380,2021-06-01,Bengaluru,Karnataka,petrol,97.64
381,2021-06-01,Bengaluru,Karnataka,diesel,90.51
382,2021-06-01,Lucknow,Uttar Pradesh,petrol,91.65
383,2021-06-01,Lucknow,Uttar Pradesh,diesel,85.56
384,2021-06-02,Delhi,Delhi,petrol,94.49
385,2021-06-02,Delhi,Delhi,diesel,85.38
386,2021-06-02,Mumbai,Maharashtra,petrol,100.72
387,2021-06-02,Mumbai,Maharashtra,diesel,92.69
388,2021-06-02,Chennai,Tamil Nadu,petrol,95.99
389,2021-06-02,Chennai,Tamil Nadu,diesel,90.12
390,2021-06-02,Kolkata,West Bengal,petrol,94.5
391,2021-06-02,Kolkata,West Bengal,diesel,88.23
392,2021-06-02,Bengaluru,Karnataka,petrol,97.64
393,2021-06-02,Bengaluru,Karnataka,diesel,90.51
394,2021-06-02,Lucknow,Uttar Pradesh,petrol,91.65
395,2021-06-02,Lucknow,Uttar Pradesh,diesel,85.56
396,2021-06-03,Delhi,Delhi,petrol,94.49
397,2021-06-03,Delhi,Delhi,diesel,85.38
398,2021-06-03,Mumbai,Maharashtra,petrol,100.72
399,2021-06-03,Mumbai,Maharashtra,diesel,92.69
400,2021-06-03,Chennai,Tamil Nadu,petrol,95.99
401,2021-06-03,Chennai,Tamil Nadu,diesel,90.12
402,2021-06-03,Kolkata,West Bengal,petrol,94.5
403,2021-06-03,Kolkata,West Bengal,diesel,88.23
404,2021-06-03,Bengaluru,Karnataka,petrol,97.64
405,2021-06-03,Bengaluru,Karnataka,diesel,90.51
406,2021-06-03,Lucknow,Uttar Pradesh,petrol,91.65
407,2021-06-03,Lucknow,Uttar Pradesh,diesel,85.56
408,2021-06-04,Delhi,Delhi,petrol,94.49
409,2021-06-04,Delhi,Delhi,diesel,85.38
410,2021-06-04,Mumbai,Maharashtra,petrol,100.72
411,2021-06-04,Mumbai,Maharashtra,diesel,92.69
412,2021-06-04,Chennai,Tamil Nadu,petrol,95.99
413,2021-06-04,Chennai,Tamil Nadu,diesel,90.12
414,2021-06-04,Kolkata,West Bengal,petrol,94.5
415,2021-06-04,Kolkata,West Bengal,diesel,88.23
416,2021-06-04,Bengaluru,Karnataka,petrol,97.64
417,2021-06-04,Bengaluru,Karnataka,diesel,90.51
418,2021-06-04,Lucknow,Uttar Pradesh,petrol,91.65
419,2021-06-04,Lucknow,Uttar Pradesh,diesel,85.56
420,2021-06-05,Delhi,Delhi,petrol,94.49
421,2021-06-05,Delhi,Delhi,diesel,85.38
422,2021-06-05,Mumbai,Maharashtra,petrol,100.72
423,2021-06-05,Mumbai,Maharashtra,diesel,92.69
424,2021-06-05,Chennai,Tamil Nadu,petrol,95.99
425,2021-06-05,Chennai,Tamil Nadu,diesel,90.12
426,2021-06-05,Kolkata,West Bengal,petrol,94.5
427,2021-06-05,Kolkata,West Bengal,diesel,88.23
428,2021-06-05,Bengaluru,Karnataka,petrol,97.64
429,2021-06-05,Bengaluru,Karnataka,diesel,90.51
430,2021-06-05,Lucknow,Uttar Pradesh,petrol,91.65
431,2021-06-05,Lucknow,Uttar Pradesh,diesel,85.56
432,2021-06-06,Delhi,Delhi,petrol,94.49
433,2021-06-06,Delhi,Delhi,diesel,85.38
434,2021-06-06,Mumbai,Maharashtra,petrol,100.72
435,2021-06-06,Mumbai,Maharashtra,diesel,92.69
436,2021-06-06,Chennai,Tamil Nadu,petrol,95.99
437,2021-06-06,Chennai,Tamil Nadu,diesel,90.12
438,2021-06-06,Kolkata,West Bengal,petrol,94.5
439,2021-06-06,Kolkata,West Bengal,diesel,88.23
440,2021-06-06,Bengaluru,Karnataka,petrol,97.64
441,2021-06-06,Bengaluru,Karnataka,diesel,90.51
442,2021-06-06,Lucknow,Uttar Pradesh,petrol,91.65
443,2021-06-06,Lucknow,Uttar Pradesh,diesel,85.56
444,2021-06-07,Delhi,Delhi,petrol,94.49
445,2021-06-07,Delhi,Delhi,diesel,85.38
446,2021-06-07,Mumbai,Maharashtra,petrol,100.72
447,2021-06-07,Mumbai,Maharashtra,diesel,92.69
448,2021-06-07,Chennai,Tamil Nadu,petrol,95.99
449,2021-06-07,Chennai,Tamil Nadu,diesel,90.12
450,2021-06-07,Kolkata,West Bengal,petrol,94.5
451,2021-06-07,Kolkata,West Bengal,diesel,88.23
452,2021-06-07,Bengaluru,Karnataka,petrol,97.64
453,2021-06-07,Bengaluru,Karnataka,diesel,90.51
454,2021-06-07,Lucknow,Uttar Pradesh,petrol,91.65
455,2021-06-07,Lucknow,Uttar Pradesh,diesel,85.56
456,2021-06-08,Delhi,Delhi,petrol,94.49
457,2021-06-08,Delhi,Delhi,diesel,85.38
458,2021-06-08,Mumbai,Maharashtra,petrol,100.72
459,2021-06-08,Mumbai,Maharashtra,diesel,92.69
460,2021-06-08,Chennai,Tamil Nadu,petrol,95.99
461,2021-06-08,Chennai,Tamil Nadu,diesel,90.12
462,2021-06-08,Kolkata,West Bengal,petrol,94.5
463,2021-06-08,Kolkata,West Bengal,diesel,88.23
464,2021-06-08,Bengaluru,Karnataka,petrol,97.64
